"3","Morrisons book second consecutive quarter of sales growth"
"1","IMI posts drop in first-quarter organic revenue; warns on full year"
"3","Glencore to refinance its short-term debt early, shares rise"
"3","EasyJet attracts more passengers in June but still lags Ryanair"
"1","Barclays 'bad bank' chief to step down"
"2","Bilfinger Industrial Services win Â£100m BP contract extension"
"3","Bilfinger Industrial Services win Â£100m BP contract extension"
"1","Barclays share price subdued as bank faces fresh forex probe"
"2","Centrica prepared for takeover approach - chairman"
"1","Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price"
"1","Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder"
"3","Kingfisher set to open another 200 Screwfix stores"
"1","Diageo sales disappoint as currency and comparatives leave bitter taste"
"1","Smith & Nephew recalls hip-replacement components"
"0","Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers"
"1","Is Trouble Brewing At Legal & General Group Plc And Aviva plc?"
"2","Here's my 10-point plan to make Tesco great again"
"2","Schroders posts FY profit beat, replaces CEO and chairman in board shake-up"
"2","BP Seeks to Get Back Some Gulf Oil Spill Business Payouts"
"2","Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?"
"0","UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs"
"2","Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger"
"1","L&G still paying price for dividend cut during crisis, chief says"
"3","Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger"
"2","Whitbread eyes savings, price rises to offset wage rises"
"4","Britain's FTSE lifted by solid Kingfisher"
"2","Novo Nordisk and AstraZeneca seek tonic from key drug trials"
"1","Kingfisher takeover of Mr Bricolage could hit a brick wall"
"3","BP wins right to appeal some Gulf spill damages claims"
"3","Dixons Carphone profit boost on strong sales"
"2","UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100"
"3","Johnson Matthey profit lifted by metals unit sale"
"0","Barclays, Credit Suisse strike record deals with SEC, NY over dark pools"
"2","UPDATE 1-Shire takes Q2 earnings pain for long-term gain"
"3","Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit"
"2","Standard Chartered considering move from UK"
"3","Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ..."
"2","US cancels Arctic offshore lease sale after Shell drops interest"
"3","Shire CEO steps up drive to get Baxalta board talking"
"2","UPDATE 1-Oil major BP freezes pay in 2015 to cut costs"
"2","Brazil Vale says will appeal ruling to block assets for dam burst"
"0","BHP Billiton posts big loss, slashes dividend"
"0","Reaching New Depths: Glencore's $5bn Loss"
"4","UPDATE 2-EasyJet sees better first half on lower fuel bill"
"3","Britain's FTSE advances as Royal Mail rises"
"3","CompaniesTesco sheds Harris & Hoole coffee shops"
"3","News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks"
"3","Fitch: Citi's 1Q'15 Reports Much Improved Results"
"4","Landlord Hammerson's NAV rises on increased leasing activity"
"3","CompaniesMetro Bank raises Â£400m ahead of London listing"
"2","New Morrisons duo get former boss's support to diffuse investor tension"
"4","WPP Q1 Revenue Rises Over 8% - Quick Facts"
"3","Barclays raises 603 million pounds from African business share sale"
"1","REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm"
"3","Dividends Unleashed At Royal Bank of Scotland Group plc"
"2","Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears"
"3","EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources"
"0","RBS and Barclays shares temporarily suspended amid heavily losses"
"1","BP sees Q1 earnings slide as low oil prices take their toll"
"3","Johnson Matthey revs up on clean air drive"
"2","Tesco boss urges rethink on minimum wage and business rates"
"2","Is It Worth Investing In Tesco PLC And Prudential plc Now?"
"2","RBS will reportedly appoint Howard Davies as its next chairman"
"1","UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans"
"1","Petrofac books further Â£30m cost for Shetland gas terminal delays"
"1","G4S suspends workers at UK youth centre over allegations of unnecessary force"
"3","TalkTalk hires BAE Systems to investigate cyber attack"
"1","Osborne extends Lloyds sell-off plan"
"0","UPDATE 1-Dairy Crest loses a third of Morrisons milk contract"
"3","CompaniesLord Livingston joins Dixons Carphone"
"3","Tesco names Deloitte as new auditor after accounting scandal"
"1","World's banks may halve jobs and branches within 10 years - Barclays ex-boss"
"3","Severn Trent share price rises as first half profit inches up as customer ..."
"3","Clinigen chosen by AstraZeneca to manage access programme for next ..."
"2","Valeant's Pearson says timing of return uncertain"
"0","Aviva suspends trading in Â£1.8bn UK property fund"
"2","Horizonte acquires neighbouring Glencore nickel property in Brazil"
"2","Indy future in doubt as Johnston Press lines up deal for 'i'"
"3","Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano"
"2","BHP Billiton half-year profit falls, beats forecasts"
"3","Royal Dutch Shell to Buy BG Group for Nearly $70 Billion"
"1","Barclays to speed up cost-cuts after new mis-selling hit"
"2","CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up"
"1","HSBC Hit by Fresh Details of Tax Evasion Claims"
"2","CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure"
"3","BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure"
"2","Wolseley says Nicholls won't join as finance chief"
"2","UK lawmakers warn Royal Mail against further price hikes"
"1","StanChart and RBS struggle in Bank of England stress tests"
"2","StanChart may see white knight takeover on painful recovery - CLSA"
"1","AstraZeneca suffers setback after drug fails to treat eye cancer"
"0","News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks"
"3","Retail giant Kingfisher reports 'solid' start to the year"
"1","Unilever Continues to Battle Soft Demand"
"3","Fresnillo Production Surges But Profit Hit By Lower Prices"
"2","Helge Lund moves to BG a month early"
"2","Tesco set to sell Kipa, Giraffe businesses - Sky News"
"1","RBS warns of higher misconduct charges, obstacles ahead"
"3","DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ..."
"1","Standard Life slips as Greek worries peg back Britain's FTSE"
"3","Glencore sells agri unit stake for $2.5 billion to Canadian pension fund"
"1","FCA bans former RBS Libor submitter"
"2","AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval"
"2","Standard Chartered Not Raising Capital Yet As Dividend Cut"
"3","Tesco set to sell Kipa, Giraffe businesses - Sky News"
"3","United Utilities FY profit up 3.5%; to boost capex"
"1","Sale of Tesco's Clubcard business to WPP on the verge of collapse"
"1","UK's Osborne may sell state-owned RBS shares at a loss -paper"
"3","Tesco Sale Is Asia's Biggest Private-Equity Deal"
"3","Industry NewsWolseley confident in reslilience amid mixed markets"
"3","Japan's Nikkei lands Financial Times in $1.3 billion deal"
"2","UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG"
"3","UK regulators license BAT e-cigarette as quit-smoking medicine"
"0","Aviva, M&G suspend property funds as investors panic"
"1","British American Tobacco drops and sues PwC over pollution scandal"
"1","Aberdeen's shares slide as net outflows accelerate"
"3","REFILE-Hikma and Barclays help Britain's FTSE to climb higher"
"2","Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit"
"2","Standard Chartered share price: Aberdeen CEO would back potential capital increase"
"3","Severn Trent share price jumps as Canadian investor renews pursuit of utility"
"1","France raises concerns over proposed LSE-Deutsche Boerse deal"
"1","Bunzl blames weakness in United States for first-half revenue slowdown"
"1","Tesco criticised for 'disgraceful' advert showing domestic worker being slapped"
"2","Tushar Morzaria is bookies' favourite to be new Barclays chief executive"
"3","CompaniesG4S claims 'positive' start to the year"
"2","UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean"
"4","Shares in BAE Systems hit 10-month high on rating upgrade"
"3","GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank"
"2","Royal Dutch Shell plc: Shell Updates on Alaska Exploration"
"1","City spirits sink after Diageo comes up short with sales slide"
"3","Tesco sales recover as focus returns to core business"
"2","London Stock Exchange unit in talks to operate Plato venue"
"3","ARM Holdings plc Partners With International Business Machines Corp. To Drive ..."
"3","GSK joins China trade push as UK trumpets healthcare deals"
"2","Goldman Sachs, Barclays, HSBC downplay Brexit threat"
"2","HSBC marks muted 150th birthday party with grain of rice sculptures"
"2","Barclays appoints JPMorgan's Paul Compton as new COO"
"4","Standard Chartered Shares Jump Most Since '12 After Upgrades"
"1","Italy Probes Shell's Role in Purchase of Nigerian Oil Block"
"1","Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers"
